pseudo,date,comment,tags,subpost,forum_page,day
MRmrMRmomo#6800,2025-04-29 15:02:20,"Revenir en arrière pour le craft des potions de Rappel, potion de Bonta et potion de Brakmar.C'est absurde de mettre des ekladames dans des potions de téléportation, surtout quand ce sont de potions qui sont énormément utilisé.",['Eklames dans craft potion'],False,1,2025-04-29
Pro-Sas#5148,2025-04-29 15:02:38,+ d’investissement sur l’équilibrage et dépoussiérage des classes.C’est au cœur de notre expérience de jeu.,['Équilibrage des classes'],False,1,2025-04-29
amsdeni#4393,2025-04-29 15:03:12,Revoir le système des dedomatons pour retirer la condition de « rollback » sinon on y aura jamais droit puisque le nouveau système de sauvegarde vous permet de vous en passer !,['compensations'],False,1,2025-04-29
estrakyo#5976,2025-04-29 15:03:13,BonjourUne légère révision de la quantité d’ekhlames nécessaires dans les crafts pour les PDA s'il vous plait.,"['Eklames dans craft potion', 'quête Dofus Ocre / craft PDA']",False,1,2025-04-29
amirkebi#7796,2025-04-29 15:03:40,Le bug de déplacement à l’hôtel de vente des ressources à bonta. Quand on clique dessus ça nous fait aller jusqu’au point de clique au lieu de directement lancer la fenêtre d’achat et de vente,['Debug / performance'],False,1,2025-04-29
Darky-Twiste#8877,2025-04-29 15:03:45,"Inclure plus de recettes pour les minerais - Suite à la suppression des minerais dans les recettes de clés, certains minerais perdent de la valeur et sont utiles que pour des alliages",['Autre'],False,1,2025-04-29
Duff#8987,2025-04-29 15:03:58,Mode héros.,['Mode héros'],False,1,2025-04-29
Wizou#9558,2025-04-29 15:04:08,"Bonjour,Remettez le PVP classique comme sur Retro et oublier le Kolizeum svp",['Autre'],False,1,2025-04-29
BananeEnFurie#2750,2025-04-29 15:04:28,"Une refonte du principe desarchis-monstreset/ou de la quête duDofus Ocrepour supprimer une bonne fois pour toute cette limite factuelle de ""X archi par jour, X Ocre par jours"".",['quête Dofus Ocre / craft PDA'],False,1,2025-04-29
Nickyo#8254,2025-04-29 15:04:33,"Bonjour,Faire de vrais actions contre les bots.",['Bots'],False,1,2025-04-29
amsdeni#4393,2025-04-29 15:04:54,"Remettre l’ensemble des sons/notifications sonores que nous avons perdu IG (mp, message rouges (importants), succès déverrouillé (le ding ding), quêtes terminées, etc",['Autre'],False,1,2025-04-29
Missta#1326,2025-04-29 15:05:00,"Des interfaces qui fonctionnent correctement, pas de reset a chaque maj, pas de décalage entre open world et combat, pas de corruption des fichiers, applicable à tous les perso rapidement",['Améliorations des Interface'],False,1,2025-04-29
Wanhedaaz#3971,2025-04-29 15:05:04,Remettre ou mettre des objets/cosmétiques RARES en fin de combat ou de donjon.,['drops rares en combat'],False,1,2025-04-29
HANNIBALBARCA#1291,2025-04-29 15:05:29,Réduction des fuites de ram .On change +20 maps on se retrouve avec un jeu qui ram en permanence .Mettre un moyen d'activer le mode tactique et non animation en attendant que ça soit fixe correctement ..,"['Debug / performance', 'retour Mode tactique']",False,1,2025-04-29
Beaudefeu#1170,2025-04-29 15:05:50,"Bug : Liste des combats sur la carte, depuis la maj de la semaine dernière, un nouveau bug est apparu, quand on veux regarder les combats présents sur la map, une fenêtre s'ouvre et on ne vois pas les combats, également lorsque l'on ferme la fenêtre et que nous changeons de map la fenêtre s'ouvre automatiquement, obliger de déco reco pour palier à ce bug. (Bug présent sur le serveur Mikhal, je ne sais pas si ça arrive à d'autres joueurs mais ça me dérange personnellement).",['Debug / performance'],False,1,2025-04-29
brazzersfapfapnow#3880,2025-04-29 15:05:53,"Bonjour,Stop à la mafia des pépites !Mettre en places différentes méthodes d’obtentions pour les joueurs.",['Mafias pépites/pl'],False,1,2025-04-29
ayym-1#2240,2025-04-29 15:05:55,"Bonjour,Réduire les lags du jeu, qui prend de plus en plus d’espace mémoire avec le temps et oblige des déconnexions.Les changements de map, entrées en combats sont très lents, avec des écrans noirs de chargement, mais aussi et surtout la forgemagie est inbuvable : des demi secondes de chargement après chaque clic, et des fois plusieurs clics qui s’enchainent : la feature prend déjà un temps fou surtout sur des exos, si en plus le jeu lag et qu’il faut deco/reco toutes les 10mins, c’est vraiment un enfer.Thx !","['Debug / performance', 'rework Forgemagie']",False,1,2025-04-29
ShishiLeSushi#2071,2025-04-29 15:05:57,"Bonjour,Avoir la possibilité de faire des songes à 8. (modulable de 4 à 8)C'est la feature endgame du jeu pour les joueurs pvm, mais cette dernière n'est pas cohérente avec tout le reste du contenu pvm, ce qui est dommage.",['rework songes'],False,1,2025-04-29
amsdeni#4393,2025-04-29 15:06:13,Revoir l’AVA ainsi que la génération de pépites pour que ce soit plus équitable pour tous,['Génération de pépites'],False,1,2025-04-29
EVANGELYNE90140#5876,2025-04-29 15:06:15,remettre le drop des dofus mais avec des stats aleatoire comme avant,['drops des dofus '],False,2,2025-04-29
xX-Zaikko-Xx#4060,2025-04-29 15:06:18,Différencier les sorts PVP et PVM pour éviter d'impacter inutilement un type de joueur à chaque nerf/up. Un système à la FF14 fonctionne très bien.,['Séparation pvp & pvm'],False,2,2025-04-29
skebab#8690,2025-04-29 15:06:30,"Il faut très vite une refonte intégrale de la quête ocre. C'est une priorité absolue.A l'heure actuelle la quête actuelle demande plus de 100h de jeu à ne faire que ça sans aucune difficulté. C'est un kama check long et frustrant.Gardez les archis comme des succès mobs sur temporis, ça fera plaisir aux joueurs.Mais rendez la quête ocre normale. Demandez des dj 200 avec idoles, une difficulté à la hauteur du Dofus en abandonnant le grind long et fastidieux qui tue la profession dans le jeu le fun.",['quête Dofus Ocre / craft PDA'],False,2,2025-04-29
supermario2#9597,2025-04-29 15:06:48,"Combat de quête toujours complété sur tous les personnages présents dans le combat et arréter le scaling de difficulté des quêtes en fonction du niveau du joueur (une quête obtenable au lvl 120 doit avoir une difficulté de lvl 120, si on revient la faire lvl 200, les mobs restent lvl 120 avec leur stats de lvl 120)",['combats de quêtes'],False,2,2025-04-29
Boomiqx1#9501,2025-04-29 15:06:50,"Bonjour,J'avais fait un long post argumenté au sujet du mode AvA, le fruit d'échanges avec des membres de cette communauté afin de relancer la feature délaissée depuis la MàJ ""majeure"" du même nom.Je l'ai reposté sur le forum Dofus3.0 :https://www.dofus.com/fr/forum/1997-suggestions-retours/2429218-mode-alliance-alliance-etat-lieux-propositions-redynamiser-alliancesMais il existe sous sa forme original dans les archives du forum Dofus2.0 :https://www.dofus.com/fr/forum/1069-dofus/2419967-mode-alliance-vs-alliance-etat-lieux-propositions-redynamiser-alliances",['Rework AVA'],False,2,2025-04-29
Shyllz#7747,2025-04-29 15:06:56,Le mode Créature - possibilité de l'activer en combat mais de le désactiver hors sans cliquer sur l'icône à chaque fois.,['mode créature'],False,2,2025-04-29
tuleportesurledos#1169,2025-04-29 15:07:03,Retour du drop rare des dofus  en parallèle de la quêtes pour  avoir une double obtention,"['drops rares en combat', 'drops des dofus ']",False,2,2025-04-29
idk--#8099,2025-04-29 15:07:07,Des patchnotes justes.CF : bug quête alignement qui devait être résolu d’après votre parchnote mais qui ne l’est pas.,"['Debug / performance', 'changelogs plus exhaustifs / complets']",False,2,2025-04-29
II-Ottawa#2637,2025-04-29 15:07:12,"Débug de l'autofocus lorsque l'option ""à la fin du tour du combattant précédent"" est sélectionnée. L'autofocus a tendance à ne pas fonctionner correctement (principalement au tour 1), peut-être lié au fait que ça ne soit pas le chef du groupe ou le premier en ordre d'initiative, qui lance le combat.À nuancer, je n'ai pas testé depuis la 3.1, peut-être que ça a été corrigé",['Debug / performance'],False,2,2025-04-29
Darky-Twiste#8877,2025-04-29 15:07:15,Rajouter le focus sur les mobs de la zone dans l'encyclopédie,['bestiaire par défaut sur la zone'],False,2,2025-04-29
BananeEnFurie#2750,2025-04-29 15:07:44,"La lisibilité des mécaniques de combats en PVM (Invulnérabilité de boss, sorts à comprendre sans aller sur Dofus pour les noobs, mécaniques propres à certains donjons)Cf : Sort Dragon/Cochon, Invus Frigosts, petits commentaires sur une mécanique de boss type one shot du corailleur, etc...",['Besoin de sites externes (DofusNoob)'],False,2,2025-04-29
amsdeni#4393,2025-04-29 15:07:49,"Remettre un système de up vote / down vote sur le forum, ça aurait été très utile de pouvoir up les commentaires pour que vous vous fassiez une idée des urgences en fonction des likes des joueurs !",['retour upvotes/downvotes sur Forum Dofus)'],False,2,2025-04-29
kyloura#7665,2025-04-29 15:07:52,Mettre du vrai drop rare en donjon car après les succès terminé les donjons ne valent plus le coup de les faire.,['drops rares en combat'],False,2,2025-04-29
Kazuko576#2912,2025-04-29 15:08:15,"Améliorer la transparence de vos communications et intégrer les sujets importants directement en jeu plutôt que de les limiter aux forums ou aux réseaux sociaux :Prenons l'exemple du dernier sondage concernant l'avenir à court terme de Dofus. Ce type d’initiative mériterait une bien meilleure visibilité, notamment via une mise en avant directement dans le jeu. Vous êtes déjà capables d’afficher des pop-ups pour alerter contre le phishing ; pourquoi ne pas utiliser ce même système pour informer les joueurs d’un sondage aussi crucial ? Cela permettrait de toucher une majorité de joueurs, y compris ceux qui ne consultent ni vos réseaux sociaux, ni le site officiel ou le forum, et qui passent donc complètement à côté d’informations importantes.Par ailleurs, il serait également appréciable d’avoir davantage de détails sur les mises à jour en cours, sans pour autant devoir attendre plusieurs heures entre chaque communication (actuellement toutes les 2 à 3 heures). Une meilleure régularité et clarté dans le suivi en temps réel serait grandement bénéfique à la communauté.",['Plus de Communication directement en jeu'],False,2,2025-04-29
Wizou#9558,2025-04-29 15:08:17,"Les interfaces modulable on en peut plus svp remettez les interfaces fixe comme sur la 2.0 parce que ont voit pas toute la map, ca nous obliger a les deplacer par moment",['Améliorations des Interface'],False,2,2025-04-29
Serych#1168,2025-04-29 15:08:24,"Continuer l'amélioration globale de la DA qui a été stoppée net avec la sortie le 3 décembre.J'entends par là : les skins des classes (finir les améliorations, ajouter les visages/corps supplémentaires), les postures en combat (virez l'anim boxeur par pitié ...), les animations très fluctuantes d'une classe à l'autre (xel et élio très bien / roub, zobal très mauvaises / steamer qui n'a juste rien à voir avec la classe), les items (qui pour certains sont encore très discutables)...",['Direction artistique'],False,2,2025-04-29
